Sample_ID,Treatment_Code,Treatment_Type,Crop,Region,Pest_Reduction_Percent,Economic_Yield_Gain_INR,Canopy_Vitality_Index,Days_After_Application
PRM-1001,1,Bio_Pesticide,Maize,Haryana,77.58,3741.93,0.792,5
PRM-1002,1,Bio_Pesticide,Cotton,Rajasthan,83.94,3760.26,0.714,4
PRM-1003,1,Bio_Pesticide,Maize,Haryana,74.99,3733.0,0.761,7
PRM-1004,1,Bio_Pesticide,Soybean,Haryana,71.85,3418.63,0.689,5
PRM-1005,1,Bio_Pesticide,Cotton,Rajasthan,65.35,4424.53,0.759,5
PRM-1006,1,Bio_Pesticide,Cotton,Haryana,76.7,3547.89,0.807,7
PRM-1007,1,Bio_Pesticide,Maize,Haryana,79.33,3337.54,0.817,3
PRM-1008,1,Bio_Pesticide,Soybean,Haryana,76.81,4145.47,0.699,4
PRM-1009,1,Bio_Pesticide,Soybean,Rajasthan,76.5,3214.76,0.651,7
PRM-1010,1,Bio_Pesticide,Cotton,Haryana,68.03,4113.26,0.668,7
PRM-1011,1,Bio_Pesticide,Cotton,Punjab,77.43,4076.86,0.877,3
PRM-1012,1,Bio_Pesticide,Cotton,Rajasthan,81.14,3445.76,0.734,3
PRM-1013,1,Bio_Pesticide,Cotton,Rajasthan,70.3,4056.9,0.812,3
PRM-1014,1,Bio_Pesticide,Maize,Punjab,80.27,3888.87,0.79,7
PRM-1015,1,Bio_Pesticide,Cotton,Rajasthan,68.94,3752.97,0.833,7
PRM-1016,1,Bio_Pesticide,Cotton,Rajasthan,67.53,4150.61,0.775,3
PRM-1017,1,Bio_Pesticide,Cotton,Rajasthan,68.71,4129.37,0.729,5
PRM-1018,1,Bio_Pesticide,Cotton,Haryana,76.56,3774.88,0.808,3
PRM-1019,1,Bio_Pesticide,Maize,Rajasthan,71.19,3172.08,0.721,5
PRM-1020,1,Bio_Pesticide,Soybean,Haryana,79.11,4010.61,0.818,4
PRM-1021,1,Bio_Pesticide,Cotton,Punjab,83.01,3873.73,0.745,3
PRM-1022,1,Bio_Pesticide,Soybean,Rajasthan,78.67,3233.26,0.709,3
PRM-1023,1,Bio_Pesticide,Maize,Haryana,86.56,3735.6,0.715,7
PRM-1024,1,Bio_Pesticide,Cotton,Haryana,69.43,4592.2,0.769,3
PRM-1025,1,Bio_Pesticide,Cotton,Punjab,69.25,3454.55,0.814,7
PRM-1026,1,Bio_Pesticide,Soybean,Haryana,80.73,3842.99,0.738,5
PRM-1027,1,Bio_Pesticide,Soybean,Haryana,77.46,3691.21,0.731,7
PRM-1028,1,Bio_Pesticide,Maize,Punjab,71.89,3479.7,0.768,5
PRM-1029,1,Bio_Pesticide,Maize,Punjab,73.65,4388.56,0.758,3
PRM-1030,1,Bio_Pesticide,Cotton,Rajasthan,75.85,3383.97,0.732,7
PRM-1031,2,Chemical_EC,Rice,Punjab,84.86,4872.5,0.886,3
PRM-1032,2,Chemical_EC,Wheat,Amritsar,92.52,5405.45,0.751,7
PRM-1033,2,Chemical_EC,Rice,Ludhiana,86.03,5525.05,0.925,7
PRM-1034,2,Chemical_EC,Cotton,Punjab,91.58,5854.67,0.952,7
PRM-1035,2,Chemical_EC,Wheat,Amritsar,90.08,5440.77,0.844,5
PRM-1036,2,Chemical_EC,Cotton,Punjab,90.61,5450.53,0.862,7
PRM-1037,2,Chemical_EC,Wheat,Amritsar,92.74,5729.29,0.776,3
PRM-1038,2,Chemical_EC,Wheat,Punjab,95.06,6095.57,0.869,7
PRM-1039,2,Chemical_EC,Rice,Amritsar,85.41,5577.8,0.896,3
PRM-1040,2,Chemical_EC,Rice,Amritsar,86.11,5400.7,0.775,4
PRM-1041,2,Chemical_EC,Cotton,Amritsar,85.8,4808.41,0.847,5
